system:index,date,latitude,longitude,ndti,.geo
20250123T053029_20250123T053836_T43REK,2025-01-23,26.602075036746886,75.98641929273677,-0.04553239159722516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128T053131_20250128T054026_T43REK,2025-01-28,26.602075036746886,75.98641929273677,0.04851271422026445,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43REK,2025-02-02,26.602075036746886,75.98641929273677,0.06134581330331321,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43REK,2025-02-07,26.602075036746886,75.98641929273677,0.07453765746412053,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T053319_T43REK,2025-02-12,26.602075036746886,75.98641929273677,0.07871650103351467,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T053430_T43REK,2025-02-17,26.602075036746886,75.98641929273677,0.0798786042453335,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43REK,2025-02-17,26.602075036746886,75.98641929273677,0.08856590116310203,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43REK,2025-02-22,26.602075036746886,75.98641929273677,0.13997602517816954,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43REK,2025-03-04,26.602075036746886,75.98641929273677,0.13340445685017518,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43REK,2025-03-09,26.602075036746886,75.98641929273677,0.14842587266932672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43REK,2025-03-19,26.602075036746886,75.98641929273677,0.11383459303145929,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43REK,2025-03-24,26.602075036746886,75.98641929273677,0.12063005739326718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250331T053241_20250331T054124_T43REK,2025-03-31,26.602075036746886,75.98641929273677,0.13240096730438672,"{""type"":""MultiPoint"",""coordinates"":[]}"
