system:index,date,latitude,longitude,sarwi,.geo
20250123T053029_20250123T053836_T43REK,2025-01-23,26.602075036746886,75.98641929273677,-0.19089058745316648,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128T053131_20250128T054026_T43REK,2025-01-28,26.602075036746886,75.98641929273677,-0.23626971476232672,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202T052939_20250202T054131_T43REK,2025-02-02,26.602075036746886,75.98641929273677,-0.2990635989890473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207T053031_20250207T053735_T43REK,2025-02-07,26.602075036746886,75.98641929273677,-0.26003946782686166,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250212T052839_20250212T053319_T43REK,2025-02-12,26.602075036746886,75.98641929273677,-0.26840807016858925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T053430_T43REK,2025-02-17,26.602075036746886,75.98641929273677,-0.2963190412393331,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250217T052931_20250217T054154_T43REK,2025-02-17,26.602075036746886,75.98641929273677,-0.2979267411514414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250222T052739_20250222T054100_T43REK,2025-02-22,26.602075036746886,75.98641929273677,-0.37020719194048446,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250304T052649_20250304T054049_T43REK,2025-03-04,26.602075036746886,75.98641929273677,-0.3309403850895287,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250309T052711_20250309T053627_T43REK,2025-03-09,26.602075036746886,75.98641929273677,-0.34751060908854947,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319T052711_20250319T053558_T43REK,2025-03-19,26.602075036746886,75.98641929273677,-0.33322950567265636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250324T052649_20250324T054002_T43REK,2025-03-24,26.602075036746886,75.98641929273677,-0.33764283358746255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250331T053241_20250331T054124_T43REK,2025-03-31,26.602075036746886,75.98641929273677,-0.3420410801147018,"{""type"":""MultiPoint"",""coordinates"":[]}"
