system:index,date,latitude,longitude,modis_fire,.geo
2025_02_22,2025-02-22,26.602075036272865,75.98641929246355,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_23,2025-02-23,26.602075036272865,75.98641929246355,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_24,2025-02-24,26.602075036272865,75.98641929246355,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_25,2025-02-25,26.602075036272865,75.98641929246355,,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_26,2025-02-26,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_27,2025-02-27,26.602075036272865,75.98641929246355,4.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_02_28,2025-02-28,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_01,2025-03-01,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_02,2025-03-02,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_03,2025-03-03,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_04,2025-03-04,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_05,2025-03-05,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_06,2025-03-06,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_07,2025-03-07,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_08,2025-03-08,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_09,2025-03-09,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_10,2025-03-10,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_11,2025-03-11,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_12,2025-03-12,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_13,2025-03-13,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_14,2025-03-14,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_15,2025-03-15,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_16,2025-03-16,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_17,2025-03-17,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_18,2025-03-18,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_19,2025-03-19,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
